Ticker,InvName,B3Name,nosName
TPIS3,TRIUNFO PART ON,TRIUNFO PARTON NM,TRIUNFOPARTONNM
TRIS3,TRISUL ON,TRISUL ON NM,TRISULONNM
TAEE11,TAESA UNT,TAESA UNT N2,TAESAUNTN2
TRPL4,TRAN PAULIST PN,TRAN PAULISTPN N1,TRANPAULISTPNN1
TRPL4,TRANPAULIST PN EDJ N1,TRANPAULIST PN EDJN1,TRANPAULISTPNEDJN1
UGPA3,ULTRAPAR ON NM,ULTRAPAR ON NM,ULTRAPARONNM
UNIP3,UNIPAR ON,UNIPAR ON,UNIPARON
UNIP6,UNIPAR PNB,UNIPAR PNB,UNIPARPNB
USIM3,USIMINAS ON,USIMINAS ON N1,USIMINASONN1
USIM5,USIMINAS PNA,USIMINAS PNA N1,USIMINASPNAN1
TESA3,TERRA SANTA ON,TERRA SANTA ON NM,TERRASANTAONNM
VALE3,VALE ON,VALE ON NM,VALEONNM
VALE3,VALE ON EDJ NM,VALE ON EDJNM,VALEONEDJNM
VIVR3,VIVER ON,VIVER ON NM,VIVERONNM
VIVT3,TELEF BRASIL ON,TELEF BRASILON,TELEFBRASILON
VLID3,VALID ON,VALID ON NM,VALIDONNM
WEGE3,WEG ON,WEG ON NM,WEGONNM
BRSR5,BANRISUL PNA,BANRISUL PNA N1,BANRISULPNAN1
CESP5,CESP PNA,CESP PNA N1,CESPPNAN1
SANB4,SANTANDER BRPN,SANTANDER BRPN,SANTANDERBRPN
STBP3,Santos Brasil Participacoes,SANTOS BRP ON NM,SANTOSBRPONNM
CESP3,CESP ON,CESP ON N1,CESPONN1
CGRA3,GRAZZIOTIN ON,GRAZZIOTIN ON,GRAZZIOTINON
CLSC4,CELESC PN,CELESC PN N2,CELESCPNN2
COCE3,COELCE ON,COELCE ON,COELCEON
TASA3,Taurus Armas ON,TAURUS ARMASON N2,TAURUSARMASONN2
COGN3,Cogna Educacao,COGNA ON ON NM,COGNAONONNM
LCAM3,LOCAMERICA ON NM,LOCAMERICA ON NM,LOCAMERICAONNM
RADL3,RAIADROGASIL ON,RAIADROGASILON NM,RAIADROGASILONNM
UCAS3,UNICASA ON,UNICASA ON NM,UNICASAONNM
ALUP11,Alupar Invest Unit,ALUPAR UNT N2,ALUPARUNTN2
ANIM3,Anima ON,ANIMA ON NM,ANIMAONNM
BBSE3,BBSEGURIDADE ON NM,BBSEGURIDADEON NM,BBSEGURIDADEONNM
BSEV3,Biosev ON,BIOSEV ON NM,BIOSEVONNM
CVCB3,CVC BRASIL ON NM,CVC BRASIL ON NM,CVCBRASILONNM
LINX3,LINX ON NM,LINX ON NM,LINXONNM
SEER3,Ser Educa ON,SER EDUCA ON NM,SEREDUCAONNM
SMLS3,Smiles Fidelidade,SMILES ON NM,SMILESONNM
TUPY3,Tupy ON,TUPY ON NM,TUPYONNM
SQIA3,Senior Solution,SINQIA ON NM,SINQIAONNM
BIOM3,Biomm On,BIOMM ON MA,BIOMMONMA
KLBN11,KLABIN S/A UNT N2,KLABIN S/A UNT N2,KLABINS/AUNTN2
NUTR3,Nutriplant,NUTRIPLANT ON MA,NUTRIPLANTONMA
BAZA3,Banco da Amazonia SA ON,AMAZONIA ON,AMAZONIAON
HGBS11,CSHG Brasil Shopping,FII HEDGEBS CI,FIIHEDGEBSCI
HGPO11,CSHG JHSF Prime Offices,FII CSHGPRIMCI,FIICSHGPRIMCI
MBRF11,Mercantil do Brasil,FII MERC BR CI,FIIMERCBRCI
TCNO3,Tecnosolo Engenharia SA ON,TECNOSOLO ON,TECNOSOLOON
ABCP11,FII ABC IMOB,FII ABC IMOBCI,FIIABCIMOBCI
RBED11,Fdo Inv Imob Rio Bravo Renda Educacional,FII RIOB ED CI,FIIRIOBEDCI
BBPO11,FII BB PRGII,FII BB PRGIICI,FIIBBPRGIICI
