Ticker,InvName,B3Name,nosName1,EDJ,nosName
HGRE11,FII HG REAL,FII HG REAL CI,FIIHGREALCI,FIIHGREALEDJCI,FIIHGREALN
JSRE11,FII JS REAL,FII JS REAL CI,FIIJSREALCI,FIIJSREALEDJCI,FIIJSREALN
KNCR11,FII KINEA RI,FII KINEA RICI,FIIKINEARICI,FIIKINEARIEDJCI,FIIKINEARIN
KNRE11,FII KII REAL,FII KII REALCI,FIIKIIREALCI,FIIKIIREALEDJCI,FIIKIIREALN
KNRI11,FII KINEA,FII KINEA CI,FIIKINEACI,FIIKINEAEDJCI,FIIKINEAN
MXRF11,FII MAXI REN,FII MAXI RENCI,FIIMAXIRENCI,FIIMAXIRENEDJCI,FIIMAXIRENN
ONEF11,FII THE ONE,FII THE ONE CI,FIITHEONECI,FIITHEONEEDJCI,FIITHEONEN
PQDP11,FII D PEDRO,FII D PEDRO CI,FIIDPEDROCI,FIIDPEDROEDJCI,FIIDPEDRON
PRSV11,FII P VARGAS,FII P VARGASCI,FIIPVARGASCI,FIIPVARGASEDJCI,FIIPVARGASN
RBBV11,FII JHSF FBV,FII JHSF FBVCI,FIIJHSFFBVCI,FIIJHSFFBVEDJCI,FIIJHSFFBVN
RBGS11,FII RB GSB I,FII RB GSB ICI,FIIRBGSBICI,FIIRBGSBIEDJCI,FIIRBGSBIN
RBRD11,FII RB II,FII RB II CI,FIIRBIICI,FIIRBIIEDJCI,FIIRBIIN
RBVO11,FII RIOBCRI2,FII RIOBCRI2CI,FIIRIOBCRI2CI,FIIRIOBCRI2EDJCI,FIIRIOBCRI2N
RNDP11,FII BB R PAP,FII BB R PAPCI,FIIBBRPAPCI,FIIBBRPAPEDJCI,FIIBBRPAPN
RNGO11,FII RIONEGRO,FII RIONEGROCI,FIIRIONEGROCI,FIIRIONEGROEDJCI,FIIRIONEGRON
SDIL11,FII SDI LOG,FII SDI LOG CI,FIISDILOGCI,FIISDILOGEDJCI,FIISDILOGN
SHPH11,FII HIGIENOP,FII HIGIENOPCI,FIIHIGIENOPCI,FIIHIGIENOPEDJCI,FIIHIGIENOPN
SPTW11,FII SP DOWNT,FII SP DOWNTCI,FIISPDOWNTCI,FIISPDOWNTEDJCI,FIISPDOWNTN
TBOF11,FII TBOFFICE,FII TBOFFICECI,FIITBOFFICECI,FIITBOFFICEEDJCI,FIITBOFFICEN
VLOL11,FII OLIMPIA,FII OLIMPIA CI,FIIOLIMPIACI,FIIOLIMPIAEDJCI,FIIOLIMPIAN
VRTA11,FII FATOR VE,FII FATOR VECI,FIIFATORVECI,FIIFATORVEEDJCI,FIIFATORVEN
XPCM11,FII XP MACAE,FII XP MACAECI,FIIXPMACAECI,FIIXPMACAEEDJCI,FIIXPMACAEN
XTED11,FII TRXE COR,FII TRXE CORCI,FIITRXECORCI,FIITRXECOREDJCI,FIITRXECORN
SANB3,SANTANDER BRON,SANTANDER BRON,SANTANDERBRON,SANTANDERBREDJON,SANTANDERBRN
FRAS3,Fras Le SA,FRAS-LE ON N1,FRAS-LEONN1,FRAS-LEONEDJN1,FRAS-LEONN
GEPA4,Duke Energy Intl Geracao Para,GER PARANAP PN,GERPARANAPPN,GERPARANAPEDJPN,GERPARANAPN
OFSA3,Ouro Fino Saude Animal Particip,OUROFINO S/AON NM,OUROFINOS/AONNM,OUROFINOS/AONEDJNM,OUROFINOS/AONN
RLOG3,Cosan Logistica SA,COSAN LOG ON NM,COSANLOGONNM,COSANLOGONEDJNM,COSANLOGONN
AAPL34,Apple Inc BDR,APPLE DRN,APPLEDRN,APPLEDEDJRN,APPLEDN
ABTT34,Abbott Laboratories BDR,ABBOTT DRN,ABBOTTDRN,ABBOTTDEDJRN,ABBOTTDN
AMGN34,Amgen Inc BDR,AMGEN DRN,AMGENDRN,AMGENDEDJRN,AMGENDN
AMZO34,Amazon.com Inc BDR,AMAZON DRN,AMAZONDRN,AMAZONDEDJRN,AMAZONDN
ARMT34,ArcelorMittal BDR,ARCELOR DRN,ARCELORDRN,ARCELORDEDJRN,ARCELORDN
ATTB34,ATT Inc BDR,ATT INC DRN,ATTINCDRN,ATTINCDEDJRN,ATTINCDN
AXPB34,American Express Co BDR,AMERICAN EXPDRN,AMERICANEXPDRN,AMERICANEXPDEDJRN,AMERICANEXPDN
BERK34,Berkshire Hathaway BDR,BERKSHIRE DRN,BERKSHIREDRN,BERKSHIREDEDJRN,BERKSHIREDN
BOAC34,Bank of America Corp BDR,BANK AMERICADRN,BANKAMERICADRN,BANKAMERICADEDJRN,BANKAMERICADN
CATP34,Caterpillar Inc BDR,CATERPILLAR DRN,CATERPILLARDRN,CATERPILLARDEDJRN,CATERPILLARDN
CMCS34,Comcast Corp BDR,COMCAST DRN,COMCASTDRN,COMCASTDEDJRN,COMCASTDN
COCA34,The Coca Cola Co BDR,COCA COLA DRN,COCACOLADRN,COCACOLADEDJRN,COCACOLADN
CSCO34,Cisco Systems Inc BDR,CISCO DRN,CISCODRN,CISCODEDJRN,CISCODN
DISB34,Walt Disney Co BDR,WALT DISNEY DRN,WALTDISNEYDRN,WALTDISNEYDEDJRN,WALTDISNEYDN
EXXO34,Exxon Mobil Corp BDR,EXXON MOBIL DRN,EXXONMOBILDRN,EXXONMOBILDEDJRN,EXXONMOBILDN
FDMO34,Ford Motor Co BDR,FORD MOTORS DRN,FORDMOTORSDRN,FORDMOTORSDEDJRN,FORDMOTORSDN
GEOO34,General Electric Co BDR,GE DRN,GEDRN,GEDEDJRN,GEDN
GSGI34,Goldman Sachs Group BDR,GOLDMANSACHSDRN,GOLDMANSACHSDRN,GOLDMANSACHSDEDJRN,GOLDMANSACHSDN
HALI34,Halliburton Co BDR,HALLIBURTON DRN,HALLIBURTONDRN,HALLIBURTONDEDJRN,HALLIBURTONDN
HOME34,Home Depot Inc BDR,HOME DEPOT DRN,HOMEDEPOTDRN,HOMEDEPOTDEDJRN,HOMEDEPOTDN
HPQB34,Hewlett Packard Co BDR,HP COMPANY DRN,HPCOMPANYDRN,HPCOMPANYDEDJRN,HPCOMPANYDN
ITLC34,Intel Corp BDR,INTEL DRN,INTELDRN,INTELDEDJRN,INTELDN
JNJB34,Johnson Johnson BDR,JOHNSON DRN,JOHNSONDRN,JOHNSONDEDJRN,JOHNSONDN
JPMC34,JPMorgan Chase Co BDR,JPMORGAN DRN,JPMORGANDRN,JPMORGANDEDJRN,JPMORGANDN
